Material_ID|Material_Name|Type|Unit_Price|Stock_Initial|Supplier_ID|Total_Stock_Value|Arrival Date|Carbon_Footprint_per_Unit_kgCO2e|Transport_Distance_km|Recycled_Packaging|Water_Consumption_per_Unit_liters
M486|Arômes naturels|Produit laitier|475.82|986|SUPPLIER_46|469158.52|9/9/2023|1972|200|Oui|9860
|Amidon modifié||||||2023-a||15l||71o
M169|Sucre blanc|Produit laitier|315.6|746|SUPPLIER_82|235437.6|10/26/2023|1492|150|Non|7460
M217|Concentré de fraise|Ingrédient|50.96|576|SUPPLIER_32|29352.96|10/13/2023|576|150|Non|1728
M483|Crème pasteurisée|Ingrédient|438.11|765|SUPPLIER_17|335154.15|9/14/2023|765|300|Oui|2295
M004|Fromaga||||SUPPLIER_32|8135s|||500|Oui|
M132|Chocolat en poudre|Ingrédient|211.24|533|SUPPLIER_69|112590.92|9/17/2023|533|100|Non|1599
||Ingrét|395w||SUPPLIER_61|1753w|10/13/2023|44t||Nz|132e
M484|Amidon modifié|Produit laitier|335.66|901|SUPPLIER_78|302429.66|10/30/2023|1802|120|Oui|9010
M055|Fromage râpé|Ingrédient|356.23|815|SUPPLIER_19|290327.45|9/5/2023|815|500|Oui|2445
M174|Lait frais entier|Ingrédient|309.3|967|SUPPLIER_77|299093.1|9/23/2023|967|400|Oui|2901
M255|Colorant alimentaire|Ingrédient|59.86|894|SUPPLIER_33|53514.84|10/22/2023|894|250|Non|2682
M456|Arômes naturels|Produit laitier|373.49|183|SUPPLIER_52|68348.67|9/20/2023|366|500|Oui|1830
M051|Eau déminéralisée|Ingrédient|349.85|421|SUPPLIER_66|147286.85|9/8/2023|421|400|Oui|1263
M465|Extrait de vanille|Produit laitier|58.76|154|SUPPLIER_23|9049.04|10/23/2023|308|400|Non|1540
M308|Fromage râpé|Produit laitier|297.31|517|SUPPLIER_5|153709.27|9/13/2023|1034|180|Oui|5170
M323|Arômes naturels|Ingrédient|93.06|821|SUPPLIER_28|76402.26|9/21/2023|821|50|Oui|2463
M040|Fromage râpé|Ingrédient|480.05|819|SUPPLIER_75|393160.95|9/25/2023|819|300|Oui|2457
M314|Colorant alimentaire|Produit laitier|58.65|137|SUPPLIER_58|8035.05|9/19/2023|274|100|Oui|1370
|||467.53||SUPPLIER_1|101921.54||436|||218t
||Ingrédient|490c|||||85k|150|Nu|257g
M080|Amidon modifié|Produit laitier|326.67|883|SUPPLIER_32|288449.61|9/2/2023|1766|200|Oui|8830
M175|Ferments lactiques|Produit laitier|321.71|112|SUPPLIER_9|36031.52|10/9/2023|224|100|Non|1120
M053|Ferments lactiques|Produit laitier|320.96|770|SUPPLIER_66|247139.2|10/22/2023|1540|150|Non|7700
M198|Amidon modifié|Produit laitier|159.04|759|SUPPLIER_50|120711.36|9/2/2023|1518|180|Non|7590
M111|Poudre de lait écrémé|Ingrédient|82.77|218|SUPPLIER_41|18043.86|10/12/2023|218|180|Oui|654
M313|Arômes naturels|Produit laitier||35a||1433j|||50|Oui|
M297|Sirop de glucose|Produit laitier|414.06|745|SUPPLIER_15|308474.7|9/25/2023|1490|400|Oui|7450
||Ingrés||20i|SUPPLIER_26|23785.5|9/22/2023|||Or|
|||189e||SUPPLIER_77||10/10/2023|44q|12e||
|||418.41|73g|SUPPLIER_74|3079l|2023-h||50|Non|
||Produit laitier||||1702f||135c||Ot|678e
M186|Amidon modifié|Ingrédient|74.33|895|SUPPLIER_13|66525.35|9/27/2023|895|300|Oui|2685
M007|Crème pasteurisée|Produit laitier|370.49|128|SUPPLIER_38|47422.72|10/27/2023|256|500|Oui|1280
M451|Extrait de vanille|Ingrédient|342.02|557|SUPPLIER_42|190505.14|10/28/2023|557|250|Non|1671
M223|Lait frab||224o|57z||||||Oui|570z
M3i|||302.63||SUPPLIER_73|1470h|||20u||
M322|Ferments lactiques|Produit laitier|69.81|596|SUPPLIER_44|41606.76|10/8/2023|1192|150|Oui|5960
M480|Fromage râpé|Ingrédient|171.89|734|SUPPLIER_23|126167.26|10/8/2023|734|250|Non|2202
M005|Sirop dew|Produit laitier||648|SUPPLIER_63|259420.32||1296||Non|648f
M2i|||465r||SUPPLIER_60|||624|100|Ox|312s
M2q|||247e||SUPPLIER_3|150481.37|2023-a|||Oui|
|Lait frais entier|Ingrédient||258|||2023-l|258|150|Oui|
M026|Sel iodé|Ingrédient|127.47|157|SUPPLIER_79|20012.79|10/20/2023|157|120|Oui|471
M1p|Extrait dm|Ingrép||511|||10/4/2023||||
M343|Gomme de guar|Produit laitier|425.19|901|SUPPLIER_16|383096.19|10/3/2023|1802|300|Non|9010
M327|||90.28|21a|SUPPLIER_9|19229.64|10/10/2023||50i|Nd|639
M076|Levure sèche|Produit laitier|218.69|106|SUPPLIER_40|23181.14|9/15/2023|212|500|Non|1060
||Produitq|291.13||||10/31/2023||||
M050|Crème pasteurisée|Ingrédient|187.14|406|SUPPLIER_17|75978.84|9/22/2023|406|200|Oui|1218
M093|||||||10/6/2023|||Non|
M287|Fromage râpé|Ingrédient|183.82|522|SUPPLIER_13|95954.04|10/22/2023|522|500|Oui|1566
M187|Colorant alimentaire|Produit laitier|75.88|267|SUPPLIER_8|20259.96|9/11/2023|534|500|Non|2670
|Sucre blanc|Ingrév|245.67||||9/27/2023||15t|Oq|215e
M325|Poudre de lait écrémé|Produit laitier|62.58|711|SUPPLIER_49|44494.38|9/29/2023|1422|300|Oui|7110
M287|Chocolat en poudre|Produit laitier|302.73|131|SUPPLIER_5|39657.63|9/2/2023|262|400|Non|1310
M114|Colorant alimentaire|Produit laitier|282|252|SUPPLIER_32|71064|10/26/2023|504|300|Oui|2520
M287|Ferments a|||449|||2023-c|||Np|
M354|Stabilisants|Produit laitier|377.87|928|SUPPLIER_29|350663.36|10/2/2023|1856|250|Non|9280
M051|Stabilisants|Ingrédient|286.26|551|SUPPLIER_55|157729.26|10/1/2023|551|200|Non|1653
M051|Sucre blanc|Produit laitier|483.24|159|SUPPLIER_36|76835.16|9/8/2023|318|200|Non|1590
M230||Ingrédient|50.62|518|SUPPLIER_6|2622f|9/17/2023||12n||
M491|Fruits mélangés|Ingrédient|154.11|654|SUPPLIER_38|100787.94|9/16/2023|654|200|Non|1962
|Levure sèche||136.8||SUPPLIER_68||9/24/2023|||Oui|
M232|Concentré de fraise|Ingrédient|135.55|941|SUPPLIER_53|127552.55|10/19/2023|941|250|Oui|2823
M2v|||214x|27n|SUPPLIER_15|59608.76|||||83l
|Sucre blanc|||131|SUPPLIER_58|38414.44||||Oui|
|||||SUPPLIER_16||10/29/2023|703||Oui|
M119|Arômes naturels|Ingrédient|84.33|121|SUPPLIER_16|10203.93|10/30/2023|121|100|Oui|363
M115|Beurre de cacao|Produit laitier|230.61|187|SUPPLIER_45|43124.07|10/24/2023|374|500|Non|1870
M075|Arômes naturels|Produit laitier|309.54|569|SUPPLIER_8|176128.26|10/30/2023|1138|150|Non|5690
M167|Chocolat en poudre|Produit laitier|407.54|453|SUPPLIER_53|184615.62|10/5/2023|906|400|Oui|4530
M279|Extrait de vanille|Produit laitier|326.9|272|SUPPLIER_25|88916.8|10/31/2023|544|400|Non|2720
M257|Lait frais entier|Ingrédient|246.75|183|SUPPLIER_76|45155.25|10/11/2023|183|50|Non|549
M465||||||6388p|10/19/2023||30l|Nj|396
M238|Gomme de guar|Ingrédient|224.69|763|SUPPLIER_70|171438.47|9/15/2023|763|400|Non|2289
M405|Crème pasteurisée|Ingrédient|284.54|896|SUPPLIER_70|254947.84|10/16/2023|896|400|Non|2688
||Ingrédient||467|||2023-a||||140k
M290|Arômes naturels|Ingrédient|471.49|420|SUPPLIER_50|198025.8|10/6/2023|420|50|Non|1260
M448|Arômes naturels|Ingrédient|108.78|845|SUPPLIER_77|91919.1|10/21/2023|845|150|Oui|2535
|||240t|39v|||9/13/2023||||1194
M462|Sel iodé|Ingrédient|291.22|306|SUPPLIER_38|89113.32|9/11/2023|306|300|Non|918
M2p||Produiti||60m|SUPPLIER_47|146105.19|||180|Oui|
M392|Poudre de lait écrémé|Produit laitier|391.39|634|SUPPLIER_25|248141.26|9/19/2023|1268|180|Oui|6340
M273|Fromage râpé|Ingrédient|431.22|868|SUPPLIER_50|374298.96|10/6/2023|868|150|Non|2604
M395|Lait frais entier|Produit laitier|70.03|177|SUPPLIER_15|12395.31|10/12/2023|354|300|Oui|1770
M064|Arômes naturels|Ingrédient|311.59|458|SUPPLIER_56|142708.22|10/22/2023|458|400|Non|1374
M132|Lait frais entier|Produit laitier|279.68|846|SUPPLIER_28|236609.28|9/17/2023|1692|50|Oui|8460
M406|Sirop de glucose|Ingrédient|291.39|625|SUPPLIER_46|182118.75|9/23/2023|625|50|Oui|1875
||Ingrédient||||||380|30o|Non|
M023|Levure sèche|Ingrédient|188.16|562|SUPPLIER_74|105745.92|10/9/2023|562|100|Non|1686
M500|Stabilisants|Ingrédient|341.13|384|SUPPLIER_27|130993.92|9/7/2023|384|300|Non|1152
M399|Sucre blanc|Ingrédient|182.2|439|SUPPLIER_72|79985.8|10/7/2023|439|300|Oui|1317
M209|Arômes naturels|Produit laitier|230.66|806|SUPPLIER_70|185911.96|10/25/2023|1612|400|Non|8060
M317|Stabilisants|Ingrédient|118.64|725|SUPPLIER_44|86014|9/5/2023|725|200|Non|2175
M094|Levure sèche|Produitn||43g||175438.02|2023-b|874|||
M2j|Levure sèche|Ingrédient|61l|87a|SUPPLIER_72||2023-y|87m|25g|Non|
M428|Stabilisants|Ingrédient|453.16|919|SUPPLIER_31|416454.04|10/30/2023|919|500|Non|2757
M380|Lait frais entier|Ingrédient|193.78|475|SUPPLIER_1|92045.5|9/20/2023|475|150|Oui|1425
M382|Poudre de lait écrémé||89b||SUPPLIER_69|48021.88|||||538p
M056|Colorant alimentaire|Ingrédient|380.19|814|SUPPLIER_32|309474.66|10/13/2023|814|200|Non|2442
M381|Chocolat en poudre|Produit laitier|466.98|134|SUPPLIER_64|62575.32|9/23/2023|268|300|Oui|1340
M228|Fromage râpé|Ingrédient|364.54|625|SUPPLIER_15|227837.5|10/31/2023|625|120|Non|1875
M0o|Amidon b|Produitr|195.47||SUPPLIER_22||||12q|Od|
M296|Levure sèche|Produit laitier|108.28|625|SUPPLIER_21|67675|9/17/2023|1250|120|Non|6250
M178|Beurre de cacao|Produit laitier|133.65|515|SUPPLIER_32|68829.75|10/20/2023|1030|180|Non|5150
M462|Extrait de vanille|Ingrédient|67.37|322|SUPPLIER_24|21693.14|10/24/2023|322|120|Oui|966
M287|Sirop de glucose|Produit laitier|189.06|793|SUPPLIER_6|149924.58|10/25/2023|1586|50|Oui|7930
M207|Fromage râpé|Produit laitier|375.85|418|SUPPLIER_21|157105.3|9/17/2023|836|120|Oui|4180
M051|Concentré de fraise|Ingrédient|274.23|758|SUPPLIER_47|207866.34|10/21/2023|758|400|Non|2274
|Sirop dem|Ingrédient||24o||113127.74|2023-h|24d||Non|726
||Ingrék|||SUPPLIER_60||2023-s||||63c
||||||199469.41|2023-r|1786|50g|Non|893h
M007|Stabilisants|Ingrédient|338.39|679|SUPPLIER_55|229766.81|10/3/2023|679|200|Oui|2037
M359|Gomme de guar|Produit laitier|330.54|358|SUPPLIER_78|118333.32|10/7/2023|716|120|Oui|3580
M490|Sirop de glucose|Produit laitier|208.26|667|SUPPLIER_29|138909.42|10/27/2023|1334|200|Non|6670
M323|Concentré de fraise|Produit laitier|67.53|1000|SUPPLIER_39|67530|9/30/2023|2000|180|Oui|10000
|Lait fran|Ingréw||133|||10/2/2023||50||
M216|Arômes naturels|Ingrédient|178.17|122|SUPPLIER_9|21736.74|10/29/2023|122|250|Oui|366
M488|Fromage râpé|Ingrédient|194.84|807|SUPPLIER_68|157235.88|9/8/2023|807|50|Oui|2421
M074|Sel iodé|Ingrédient|186.09|336|SUPPLIER_46|62526.24|10/8/2023|336|250|Oui|1008
M324|Arômes naturels|Ingrédient|370.93|278|SUPPLIER_68|103118.54|10/4/2023|278|50|Oui|834
M223|Sucre blanc|Ingrédient|156.99|644|SUPPLIER_66|101101.56|9/25/2023|644|250|Non|1932
||Produit laitier||301||1495m|2023-z|||Oui|
M074|Levure sèche|Ingrédient|166.27|686|SUPPLIER_58|114061.22|9/28/2023|686|120|Non|2058
||Ingrédient||20e|SUPPLIER_14|||20o|50c|Op|
|||142.12||SUPPLIER_66|234a|2023-q|||Op|1650
|Eau déminéralisée|Ingrédient|||||9/16/2023|15g|500|Nn|
M350|Fruits mélangés|Ingrédient|378.38|712|SUPPLIER_40|269406.56|9/14/2023|712|500|Non|2136
M227|Amidon modifié|Ingrédient|295.72|970|SUPPLIER_10|286848.4|10/10/2023|970|100|Oui|2910
M2t|Beurre de cacao|Produith|78.6|367||28846.2||734|30v|Non|
M314|Stabilisants|Produit laitier|335.13|155|SUPPLIER_14|51945.15|9/25/2023|310|100|Non|1550
M138|Fromagc|Ingrée|393.65|22n|SUPPLIER_47||2023-s||40o||
M191|Beurre de cacao|Ingrédient|265.68|478|SUPPLIER_83|126995.04|9/10/2023|478|180|Non|1434
M252|Sel p|||73n|SUPPLIER_16|58284.93|2023-n|||Oui|739h
M227|Ferments lactiques|Produit laitier|72.4|365|SUPPLIER_66|26426|9/30/2023|730|400|Oui|3650
||Produit laitier|280y|283|SUPPLIER_83||||150|Nc|
|Crème pax||269w||SUPPLIER_45|||||Oui|1630
M183|Gomme de guar|Ingrédient|70.49|801|SUPPLIER_37|56462.49|9/13/2023|801|200|Non|2403
M306|Colorant alimentaire|Ingrédient|433.49|670|SUPPLIER_39|290438.3|10/8/2023|670|50|Oui|2010
M218|Poudre de lait écrémé|Ingrédient|302.98|964|SUPPLIER_70|292072.72|10/16/2023|964|100|Oui|2892
M4p|Sucre blanc||418.95|||||||Nk|
|Extrait de vanille|Ingréw|448d|611|||10/31/2023|61q|18c|Oui|
M278|Colorant alimentaire|Produit laitier|488.04|627|SUPPLIER_73|306001.08|10/10/2023|1254|300|Non|6270
|||449.21|||6064j|2023-c|27d||No|135x
||Ingrédient|281.42||SUPPLIER_50|104688.24|||150||111y
|Ferments o|Produitk|26d||SUPPLIER_71|161314.5|2023-d|1230|250||
||Ingréb||||2385c||963|200|Nt|2889
M096|Crème pasteurisée|Produit laitier|130.01|119|SUPPLIER_2|15471.19|10/4/2023|238|500|Non|1190
M145||Produit laitier||||179409.48|||30f|Non|9960
M4x|Colorant alimentaire||156f|589||9243l|||||589v
||Produit laitier||239||7321x||47m||Oi|
M356|Extrait de vanille|Produit laitier|185.23|170|SUPPLIER_73|31489.1|9/10/2023|340|180|Oui|1700
M171|Amidon modifié|Produit laitier|448.94|464|SUPPLIER_79|208308.16|9/19/2023|928|250|Oui|4640
M456||Ingrét|||SUPPLIER_31|||51f||Nf|
|Concentréo||68l|58s|SUPPLIER_2|40117.26|2023-b|582|250||
M4j||Ingrédient||429|SUPPLIER_6||2023-u|429|18t|Non|1287
|||150d|59c||89668.2|2023-s|59e||Oq|
M112|Sucre blanc|Ingrédient|459.66|486|SUPPLIER_59|223394.76|9/5/2023|486|300|Non|1458
M092|Sirop de glucose|Ingrédient|330.39|621|SUPPLIER_45|205172.19|9/19/2023|621|50|Oui|1863
M208|Sirop de glucose|Produit laitier|359.53|638|SUPPLIER_29|229380.14|9/5/2023|1276|300|Non|6380
M383|Beurre de cacao|Produit laitier|216.18|840|SUPPLIER_68|181591.2|10/18/2023|1680|250|Non|8400
M300|Chocolat en poudre|Produit laitier|276.97|942|SUPPLIER_20|260905.74|10/28/2023|1884|50|Oui|9420
M462|Beurre de cacao|Ingrédient|275.31|492|SUPPLIER_50|135452.52|10/20/2023|492|250|Oui|1476
M223|Sel iodé|Produit laitier|271.84|299|SUPPLIER_7|81280.16|10/25/2023|598|400|Oui|2990
M220|Concentréf|||2953.110567||||450||Nm|1350
M453|Concentré de fraise|Ingrédient|93.91|647|SUPPLIER_59|60759.77|9/19/2023|647|180|Non|1941
M493|Stabilisants|Ingrédient|178.84|287|SUPPLIER_69|51327.08|9/23/2023|287|120|Non|861
M456|Sucre blanc|Produit laitier|124.23|253|SUPPLIER_23|31430.19|9/29/2023|506|180|Oui|2530
M0k||Ingrédient|438o|874|||2023-b||||2622
M355|Lait frais entier|Produit laitier|412.29|854|SUPPLIER_80|352095.66|9/18/2023|1708|180|Non|8540
M155|Sel iodé|Ingrédient|462.78|312|SUPPLIER_55|144387.36|10/22/2023|312|250|Non|936
M354|Sel iodé|Produit laitier|305.5|245|SUPPLIER_63|74847.5|9/6/2023|490|250|Oui|2450
M0q|Gomme j||117n|944|SUPPLIER_17||10/3/2023|944|50l||2832
M231|Gomme de guar|Produit laitier|354.3|819|SUPPLIER_65|290171.7|9/6/2023|1638|200|Non|8190
M433|Colorant alimentaire|Ingrédient|243.92|696|SUPPLIER_50|169768.32|9/12/2023|696|400|Oui|2088
M386|Arômes naturels|Ingrédient|364.7|742|SUPPLIER_19|270607.4|9/15/2023|742|200|Oui|2226
||||76e|||9/27/2023|1520||Oui|
M196|Fromage râpé|Produit laitier|52.66|662|SUPPLIER_38|34860.92|9/6/2023|1324|300|Non|6620
M356|Poudre de lait écrémé|Produit laitier|389.52|217|SUPPLIER_83|84525.84|9/29/2023|434|400|Non|2170
M323|Sel iodé|Ingrédient|388.51|938|SUPPLIER_48|364422.38|10/16/2023|938|100|Non|2814
M170|Lait frais entier|Produit laitier|276.81|215|SUPPLIER_34|59514.15|9/26/2023|430|500|Non|2150
M386|Fruits mélangés|Ingrédient|370.51|594|SUPPLIER_13|220082.94|10/18/2023|594|50|Non|1782
M474|Gomme de guar|Produit laitier|57.63|284|SUPPLIER_25|16366.92|9/20/2023|568|300|Oui|2840
M139|Arômes naturels|Ingrédient|201.72|804|SUPPLIER_83|162182.88|10/4/2023|804|250|Non|2412
M357|Colorant alimentaire|Ingrédient|351.62|219|SUPPLIER_57|77004.78|10/12/2023|219|180|Oui|657
M179|Fromage râpé|Ingrédient|132.9|881|SUPPLIER_28|117084.9|9/21/2023|881|120|Non|2643
M248|Arômes e||267n|||1602u|2023-d||||
|Chocolat en poudre|||92y|SUPPLIER_68|3964i|9/17/2023|92s|||2775
||Ingrés||531|SUPPLIER_16||||15y||1593
M041|Fruits mélangés|Ingrédient|363.48|936|SUPPLIER_15|340217.28|10/9/2023|936|400|Oui|2808
M252|Eau déminéralisée|Produit laitier|208.31|927|SUPPLIER_62|193103.37|9/10/2023|1854|100|Oui|9270
M451||Produit laitier|20y|180|SUPPLIER_1||2023-h|360|||180v
M300|Crème pasteurisée|Produit laitier|59.84|582|SUPPLIER_35|34826.88|9/29/2023|1164|500|Non|5820
|Extrait de vanille||236b||SUPPLIER_83|||320||Os|96q
M450||||529||8138z|10/16/2023||||1587
M4t|Ferments g|||86p|SUPPLIER_80|133140.8|||30y||8650
M417|Sucre blanc|Ingrédient|272.45|573|SUPPLIER_4|156113.85|10/25/2023|573|50|Non|1719
M036|Sel p||||||||18x||
M286|Sucre blanc|Ingrédient|420.31|303|SUPPLIER_41|127353.93|10/27/2023|303|100|Non|909
M136|Gomme de guar|Ingrédient|126.43|457|SUPPLIER_67|57778.51|10/8/2023|457|120|Oui|1371
M002|Extrait de vanille|Ingrédient|341.84|972|SUPPLIER_38|332268.48|10/15/2023|972|500|Oui|2916
M056|Amidon modifié|Ingrédient|75.86|344|SUPPLIER_62|26095.84|9/21/2023|344|250|Oui|1032
M190|Stabilt|Ingrédient|||||||30m||
M0y||Produitm|93.23||||||||789u
M111|Extrait de vanille|Ingrédient|58.06|110|SUPPLIER_33|6386.6|9/12/2023|110|180|Oui|330
M140|Eau déminéralisée|Produit laitier|297.86|304|SUPPLIER_37|90549.44|10/13/2023|608|150|Oui|3040
M224|Sucre blanc|Produit laitier|473.74|871|SUPPLIER_24|412627.54|9/18/2023|1742|100|Non|8710
|Concentré de fraise|Produit laitier|223.66||||2023-e|99c|||
M267|Ferments lactiques|Produit laitier|362.7|905|SUPPLIER_21|328243.5|10/19/2023|1810|300|Non|9050
M360|Concentré de fraise|Produit laitier|65.84|844|SUPPLIER_58|55568.96|10/14/2023|1688|200|Non|8440
M457|Arômes naturels|Ingrédient|396.21|835|SUPPLIER_66|330835.35|9/30/2023|835|250|Non|2505
M142|Eau déminéralisée|Ingrédient|309.35|462|SUPPLIER_71|142919.7|10/8/2023|462|500|Non|1386
M149|Fromage râpé|Produit laitier|142.49|688|SUPPLIER_73|98033.12|10/22/2023|1376|120|Non|6880
M323|Eau déminéralisée|Produit laitier|327.82|933|SUPPLIER_82|305856.06|10/26/2023|1866|100|Oui|9330
M417|Amidon modifié|Produit laitier|85.26|209|SUPPLIER_26|17819.34|9/5/2023|418|400|Non|2090
M398|Amidon modifié||453l|994|SUPPLIER_6|||1988|||
M068|Sirop de glucose|Ingrédient|346.03|864|SUPPLIER_23|298969.92|10/11/2023|864|120|Oui|2592
M2y||Produitw||857||4745t||171r|50i|Ov|857s
M0z|Sucree||418w|97i|SUPPLIER_25|408338.88|2023-l|976||Oui|
M304|Extrait de vanille|Ingrédient|383.15|943|SUPPLIER_5|361310.45|10/12/2023|943|120|Oui|2829
M111|Beurre de cacao|Ingrédient|470.01|376|SUPPLIER_31|176723.76|10/14/2023|376|500|Non|1128
M380|Poudre de lait écrémé|Ingrédient|460.6|903|SUPPLIER_78|415921.8|10/15/2023|903|250|Non|2709
M426|Ferments lactiques|Ingrédient|224.21|908|SUPPLIER_83|203582.68|9/20/2023|908|50|Oui|2724
M057|Amidon modifié|Produit laitier|336.98|818|SUPPLIER_68|275649.64|10/2/2023|1636|100|Oui|8180
||Produitd|195n|||106584.66||1092|||
M278|Fromage râpé|Ingrédient|199.72|579|SUPPLIER_48|115637.88|9/27/2023|579|180|Oui|1737
M064|Poudre de lait écrémé|Produit laitier|179.77|944|SUPPLIER_74|169702.88|9/26/2023|1888|250|Oui|9440
M083|Lait frais entier|Produit laitier|278.77|366|SUPPLIER_57|102029.82|9/16/2023|732|250|Non|3660
M221||||||1372p||98c|400|Nd|
M497|Poudre de lait écrémé|Ingrédient|466.05|969|SUPPLIER_28|451602.45|10/20/2023|969|200|Oui|2907
M263|Stabilisants|Produit laitier|483.33|867|SUPPLIER_44|419047.11|9/29/2023|1734|300|Oui|8670
M101|Extrait de vanille|Produit laitier|71.27|136|SUPPLIER_66|9692.72|10/19/2023|272|500|Oui|1360
M293|Chocolat en poudre|Produit laitier|335.7|322|SUPPLIER_6|108095.4|9/28/2023|644|250|Non|3220
M439|Fruits mélangés|Produit laitier|112.04|384|SUPPLIER_66|43023.36|9/5/2023|768|100|Non|3840
M177|Crème pasteurisée|Ingrédient|100.57|219|SUPPLIER_27|22024.83|9/22/2023|219|400|Oui|657
M181|Sel iodé|Ingrédient|279.74|733|SUPPLIER_23|205049.42|10/4/2023|733|150|Non|2199
M468|Beurre o|Ingréz|202b|954||1930a|10/27/2023||150|Non|
M029|Fromage râpé|Produit laitier|481.48|858|SUPPLIER_28|413109.84|9/11/2023|1716|250|Oui|8580
M285|Beurre de cacao|Produit laitier|211.36|765|SUPPLIER_58|161690.4|10/27/2023|1530|300|Oui|7650
M391|Crème pasteurisée|Produit laitier|207.54|890|SUPPLIER_39|184710.6|9/8/2023|1780|100|Non|8900
M371|Concentré de fraise|Ingrédient|306.52|489|SUPPLIER_43|149888.28|10/30/2023|489|100|Oui|1467
M233|Sirop de glucose|Produit laitier|354.66|419|SUPPLIER_10|148602.54|9/17/2023|838|120|Oui|4190
M495|Eau déminéralisée|Produit laitier|80.03|197|SUPPLIER_32|15765.91|9/25/2023|394|180|Non|1970
M398|Gomme de guar|Produit laitier|313.92|692|SUPPLIER_13|217232.64|9/15/2023|1384|200|Non|6920
M440||Ingréo||60h|SUPPLIER_14|4537t||60v||Nd|182p
M480|Concentré de fraise|Produit laitier|481.38|287|SUPPLIER_17|138156.06|9/25/2023|574|500|Non|2870
M205|Crème pasteurisée|Ingrédient|364.68|283|SUPPLIER_7|103204.44|10/25/2023|283|250|Non|849
M0d|Ferments g||492.01|134|SUPPLIER_58||2023-g||||
||Produit laitier|||SUPPLIER_33|173482.65|10/9/2023|1010|15x|Non|5050
M357|Sirop de glucose|Produit laitier|442.36|148|SUPPLIER_17|65469.28|10/4/2023|296|500|Oui|1480
M169|Gomme de guar|Produit laitier|123.3|131|SUPPLIER_83|16152.3|9/6/2023|262|200|Oui|1310
M233|Arômes naturels|Produit laitier|351.39|807|SUPPLIER_45|283571.73|10/1/2023|1614|100|Non|8070
M452|Sel iodé|Ingrédient|479.49|752|SUPPLIER_76|360576.48|9/27/2023|752|120|Non|2256
M2j||Ingréh||68x||||68l||Of|205a
M090|Ferments lactiques|Ingrédient|395.3|212|SUPPLIER_76|83803.6|9/20/2023|212|150|Non|636
M105|Stabilisants|Ingrédient|297.91|176|SUPPLIER_31|52432.16|9/9/2023|176|120|Oui|528
M2s|Extrait de vanille|Ingrédient|128a|328|SUPPLIER_81||||300||
M391|Ferments lactiques|Produit laitier|190.38|325|SUPPLIER_20|61873.5|10/1/2023|650|250|Oui|3250
M287|Beurre de cacao|Produit laitier|362.6|249|SUPPLIER_40|90287.4|9/19/2023|498|250|Non|2490
|Crème pad|Produit laitier||825|SUPPLIER_52|259553.25||165b|400||825w
M007|Stabilisants|Ingrédient|77.69|425|SUPPLIER_41|33018.25|9/6/2023|425|50|Oui|1275
M4i|Lait frais entier|||532|||2023-b|532|||159a
M212||Produit laitier||60v|||||||604u
M190|Eau déminéralisée|Produit laitier|77.02|611|SUPPLIER_75|47059.22|9/19/2023|1222|300|Non|6110
M476|Eau déminéralisée|Ingrédient|346.91|711|SUPPLIER_71|246653.01|10/26/2023|711|200|Oui|2133
M180|Stabilisants|Produit laitier|262.33|103|SUPPLIER_46|27019.99|10/24/2023|206|100|Oui|1030
M351|Gomme de guar|Produit laitier|187.89|113|SUPPLIER_56|21231.57|10/29/2023|226|100|Non|1130
M1q|||163.39|106|SUPPLIER_78|1731n|2023-b|212|120||23714.65615
|Fromage râpé||354.05||||10/20/2023|206|30z|Oi|61q
M287|Fruits mélangés|Ingrédient|243.63|982|SUPPLIER_5|239244.66|9/4/2023|982|400|Non|2946
M146|Sucre blanc|Ingrédient|409.27|915|SUPPLIER_2|374482.05|10/3/2023|915|100|Non|2745
M157|Eau déminéralisée|Produit laitier|207.92|983|SUPPLIER_37|204385.36|9/10/2023|1966|500|Oui|9830
M412|Gomme de guar|Ingrédient|193.01|923|SUPPLIER_71|178148.23|9/20/2023|923|150|Oui|2769
M015|Gomme de guar|Ingrédient|165.88|854|SUPPLIER_66|141661.52|9/2/2023|854|200|Oui|2562
M1z|||321.59||SUPPLIER_67|193918.77|||30o||
M433|Concentré de fraise|Ingrédient|455.53|118|SUPPLIER_14|53752.54|9/23/2023|118|150|Oui|354
M019|Fromage râpé|Produit laitier|137.18|918|SUPPLIER_16|125931.24|9/14/2023|1836|150|Non|9180
M154|Sucre blanc|Produit laitier|425.65|401|SUPPLIER_79|170685.65|9/15/2023|802|150|Non|4010
M332|Chocolat en poudre|Produit laitier|445.98|625|SUPPLIER_59|278737.5|9/12/2023|1250|250|Oui|6250
M275||||59f||264930.69|10/6/2023||||1791
M239|Extrait de vanille|Ingrédient|156.94|296|SUPPLIER_52|46454.24|9/27/2023|296|250|Oui|888
M492|Crème pasteurisée|Produit laitier|445.6|629|SUPPLIER_52|280282.4|10/23/2023|1258|500|Oui|6290
M484|Amidon modifié|Produit laitier|272.54|694|SUPPLIER_46|189142.76|10/18/2023|1388|250|Non|6940
M163|Colorant alimentaire|Produit laitier|102.33|516|SUPPLIER_70|52802.28|9/24/2023|1032|300|Oui|5160
M069|Sucre blanc|Ingrédient|91.81|386|SUPPLIER_10|35438.66|10/27/2023|386|120|Oui|1158
